transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference,date,year,month,day,hour,day_of_week,is_weekend
2026-04-05 22:00:00,subway,421,"Gun Hill Rd (2,5)",Bronx,metrocard,Metrocard - Other,2.0,0.0,40.87785,-73.86626,POINT (-73.86626 40.87785),2026-04-05,2026,4,5,22,Sunday,True
2026-04-09 06:00:00,subway,442,Eastchester-Dyre Av (5),Bronx,metrocard,Metrocard - Other,5.0,1.0,40.8883,-73.83083,POINT (-73.83083 40.8883),2026-04-09,2026,4,9,6,Thursday,False
2026-04-16 07:00:00,subway,216,"174-175 Sts (B,D)",Bronx,omny,OMNY - Fair Fare,34.0,0.0,40.8459,-73.91013,POINT (-73.91013 40.8459),2026-04-16,2026,4,16,7,Thursday,False
2026-04-21 09:00:00,subway,385,176 St (4),Bronx,metrocard,Metrocard - Other,3.0,0.0,40.84848,-73.9118,POINT (-73.9118 40.84848),2026-04-21,2026,4,21,9,Tuesday,False
2026-04-13 20:00:00,subway,419,"225 St (2,5)",Bronx,omny,OMNY - Full Fare,34.0,0.0,40.888023,-73.860344,POINT (-73.860344 40.888023),2026-04-13,2026,4,13,20,Monday,False
2026-04-09 05:00:00,subway,363,Westchester Sq-E Tremont Av (6),Bronx,metrocard,Metrocard - Other,5.0,0.0,40.839893,-73.84295,POINT (-73.84295 40.839893),2026-04-09,2026,4,9,5,Thursday,False
2026-04-06 18:00:00,subway,381,Kingsbridge Rd (4),Bronx,omny,OMNY - Full Fare,123.0,10.0,40.86776,-73.89717,POINT (-73.89717 40.86776),2026-04-06,2026,4,6,18,Monday,False
2026-04-07 05:00:00,subway,294,238 St (1),Bronx,omny,OMNY - Seniors & Disability,13.0,1.0,40.884666,-73.90087,POINT (-73.90087 40.884666),2026-04-07,2026,4,7,5,Tuesday,False
2026-04-04 18:00:00,subway,371,Hunts Point Av (6),Bronx,omny,OMNY - Full Fare,153.0,18.0,40.82095,-73.89055,POINT (-73.89055 40.82095),2026-04-04,2026,4,4,18,Saturday,True
2026-04-10 15:00:00,subway,294,238 St (1),Bronx,omny,OMNY - Students,29.0,0.0,40.884666,-73.90087,POINT (-73.90087 40.884666),2026-04-10,2026,4,10,15,Friday,False
2026-04-01 03:00:00,subway,391,"138 St-Grand Concourse (4,5)",Bronx,metrocard,Metrocard - Other,1.0,0.0,40.813225,-73.92985,POINT (-73.92985 40.813225),2026-04-01,2026,4,1,3,Wednesday,False
2026-04-12 18:00:00,subway,367,St Lawrence Av (6),Bronx,omny,OMNY - Seniors & Disability,3.0,0.0,40.83151,-73.867615,POINT (-73.867615 40.83151),2026-04-12,2026,4,12,18,Sunday,True
2026-04-14 12:00:00,subway,294,238 St (1),Bronx,omny,OMNY - Fair Fare,11.0,2.0,40.884666,-73.90087,POINT (-73.90087 40.884666),2026-04-14,2026,4,14,12,Tuesday,False
2026-04-13 14:00:00,subway,422,"Burke Av (2,5)",Bronx,omny,OMNY - Full Fare,55.0,0.0,40.871357,-73.867165,POINT (-73.867165 40.871357),2026-04-13,2026,4,13,14,Monday,False
2026-04-20 13:00:00,subway,416,Wakefield-241 St (2),Bronx,omny,OMNY - Students,9.0,0.0,40.903126,-73.85062,POINT (-73.85062 40.903126),2026-04-20,2026,4,20,13,Monday,False
2026-04-21 04:00:00,subway,421,"Gun Hill Rd (2,5)",Bronx,metrocard,Metrocard - Other,2.0,1.0,40.87785,-73.86626,POINT (-73.86626 40.87785),2026-04-21,2026,4,21,4,Tuesday,False
2026-04-10 09:00:00,subway,370,Whitlock Av (6),Bronx,omny,OMNY - Other,4.0,0.0,40.826527,-73.886284,POINT (-73.886284 40.826527),2026-04-10,2026,4,10,9,Friday,False
2026-04-02 23:00:00,subway,293,Van Cortlandt Park-242 St (1),Bronx,metrocard,Metrocard - Unlimited 7-Day,2.0,0.0,40.889248,-73.89858,POINT (-73.89858 40.889248),2026-04-02,2026,4,2,23,Thursday,False
2026-04-14 19:00:00,subway,371,Hunts Point Av (6),Bronx,omny,OMNY - Students,40.0,4.0,40.82095,-73.89055,POINT (-73.89055 40.82095),2026-04-14,2026,4,14,19,Tuesday,False
2026-04-17 10:00:00,subway,368,Morrison Av-Soundview (6),Bronx,metrocard,Metrocard - Unlimited 7-Day,1.0,0.0,40.82952,-73.87452,POINT (-73.87452 40.82952),2026-04-17,2026,4,17,10,Friday,False
2026-04-07 12:00:00,subway,361,Buhre Av (6),Bronx,metrocard,Metrocard - Other,1.0,0.0,40.84681,-73.832565,POINT (-73.832565 40.84681),2026-04-07,2026,4,7,12,Tuesday,False
2026-04-14 17:00:00,subway,442,Eastchester-Dyre Av (5),Bronx,omny,OMNY - Full Fare,154.0,19.0,40.8883,-73.83083,POINT (-73.83083 40.8883),2026-04-14,2026,4,14,17,Tuesday,False
2026-04-02 03:00:00,subway,363,Westchester Sq-E Tremont Av (6),Bronx,omny,OMNY - Students,1.0,0.0,40.839893,-73.84295,POINT (-73.84295 40.839893),2026-04-02,2026,4,2,3,Thursday,False
2026-04-19 13:00:00,subway,385,176 St (4),Bronx,metrocard,Metrocard - Other,2.0,0.0,40.84848,-73.9118,POINT (-73.9118 40.84848),2026-04-19,2026,4,19,13,Sunday,True
2026-04-20 21:00:00,subway,367,St Lawrence Av (6),Bronx,omny,OMNY - Fair Fare,2.0,0.0,40.83151,-73.867615,POINT (-73.867615 40.83151),2026-04-20,2026,4,20,21,Monday,False
2026-04-11 06:00:00,subway,360,Pelham Bay Park (6),Bronx,omny,OMNY - Full Fare,72.0,35.0,40.852463,-73.82812,POINT (-73.82812 40.852463),2026-04-11,2026,4,11,6,Saturday,True
2026-04-20 16:00:00,subway,381,Kingsbridge Rd (4),Bronx,omny,OMNY - Full Fare,294.0,14.0,40.86776,-73.89717,POINT (-73.89717 40.86776),2026-04-20,2026,4,20,16,Monday,False
2026-04-21 19:00:00,subway,378,Woodlawn (4),Bronx,omny,OMNY - Students,5.0,0.0,40.886036,-73.87875,POINT (-73.87875 40.886036),2026-04-21,2026,4,21,19,Tuesday,False
2026-04-07 16:00:00,subway,383,183 St (4),Bronx,omny,OMNY - Seniors & Disability,6.0,0.0,40.858406,-73.90388,POINT (-73.90388 40.858406),2026-04-07,2026,4,7,16,Tuesday,False
2026-04-10 19:00:00,subway,365,Castle Hill Av (6),Bronx,omny,OMNY - Fair Fare,8.0,0.0,40.834255,-73.85122,POINT (-73.85122 40.834255),2026-04-10,2026,4,10,19,Friday,False
2026-04-16 09:00:00,subway,294,238 St (1),Bronx,omny,OMNY - Seniors & Disability,14.0,2.0,40.884666,-73.90087,POINT (-73.90087 40.884666),2026-04-16,2026,4,16,9,Thursday,False
2026-04-19 09:00:00,subway,380,Bedford Park Blvd-Lehman College (4),Bronx,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0,40.873413,-73.89006,POINT (-73.89006 40.873413),2026-04-19,2026,4,19,9,Sunday,True
2026-04-14 07:00:00,subway,378,Woodlawn (4),Bronx,metrocard,Metrocard - Other,11.0,1.0,40.886036,-73.87875,POINT (-73.87875 40.886036),2026-04-14,2026,4,14,7,Tuesday,False
2026-04-20 19:00:00,subway,416,Wakefield-241 St (2),Bronx,omny,OMNY - Students,7.0,0.0,40.903126,-73.85062,POINT (-73.85062 40.903126),2026-04-20,2026,4,20,19,Monday,False
2026-04-20 15:00:00,subway,294,238 St (1),Bronx,metrocard,Metrocard - Other,2.0,0.0,40.884666,-73.90087,POINT (-73.90087 40.884666),2026-04-20,2026,4,20,15,Monday,False
2026-04-06 08:00:00,subway,212,"Kingsbridge Rd (B,D)",Bronx,omny,OMNY - Students,33.0,1.0,40.866978,-73.89351,POINT (-73.89351 40.866978),2026-04-06,2026,4,6,8,Monday,False
2026-04-14 16:00:00,subway,386,Mt Eden Av (4),Bronx,omny,OMNY - Seniors & Disability,15.0,0.0,40.844433,-73.91469,POINT (-73.91469 40.844433),2026-04-14,2026,4,14,16,Tuesday,False
2026-04-07 20:00:00,subway,388,167 St (4),Bronx,omny,OMNY - Full Fare,58.0,3.0,40.835537,-73.9214,POINT (-73.9214 40.835537),2026-04-07,2026,4,7,20,Tuesday,False
2026-04-02 17:00:00,subway,434,"3 Av-149 St (2,5)",Bronx,omny,OMNY - Students,112.0,8.0,40.81611,-73.917755,POINT (-73.917755 40.81611),2026-04-02,2026,4,2,17,Thursday,False
2026-04-04 11:00:00,subway,375,Cypress Av (6),Bronx,omny,OMNY - Fair Fare,3.0,0.0,40.805367,-73.91404,POINT (-73.91404 40.805367),2026-04-04,2026,4,4,11,Saturday,True
2026-04-07 04:00:00,subway,419,"225 St (2,5)",Bronx,omny,OMNY - Seniors & Disability,1.0,0.0,40.888023,-73.860344,POINT (-73.860344 40.888023),2026-04-07,2026,4,7,4,Tuesday,False
2026-04-04 10:00:00,subway,218,"167 St (B,D)",Bronx,omny,OMNY - Students,29.0,0.0,40.83377,-73.91844,POINT (-73.91844 40.83377),2026-04-04,2026,4,4,10,Saturday,True
2026-04-10 19:00:00,subway,360,Pelham Bay Park (6),Bronx,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0,40.852463,-73.82812,POINT (-73.82812 40.852463),2026-04-10,2026,4,10,19,Friday,False
2026-04-12 06:00:00,subway,376,Brook Av (6),Bronx,omny,OMNY - Students,1.0,0.0,40.807568,-73.91924,POINT (-73.91924 40.807568),2026-04-12,2026,4,12,6,Sunday,True
